id_pesquisavel;chave_pesquisavel;id_item;descricao;titulo;subtitulo;versao_min_ios;versao_min_android;deeplink;icone;feature_flag;palavras_chave
FEATURE-644aa6e2e23221164f02ecb8;644aa6e2e23221164f02ecb8;debito_automatico;Pague contas automaticamente sem complicações;Débito automático;Pague contas automaticamente sem complicações;11.00.076;11.00.107;picpay://picpay/bills-direct-debit?origin=busca;calendar_refresh;is_bills_direct_debit_search_avaliable;dda,automatico,boleto vencido,debito,acompanhar,debitar,contas em dia,conta em dia,energia,boleto,pendencias,descontar,tributos,planejamento,luz,bills,contas,pagamento,da,agua,pagamentos
FEATURE-64ad8ebfb5c39a662ae8bafd;64ad8ebfb5c39a662ae8bafd;limite_especial;Valor extra de saldo disponível na sua conta;Limite Especial;Valor extra de saldo disponível na sua conta;11.00.078;11.00.119;picpay://picpay/special-limit;arrow_left_right;is_eligible_special_limit;credito extra,limite cheque especial,lis,extra,cheque especial original,cheque,saldo,limite,cheque especial
FEATURE-758a7fc1999bee1708941753;758a7fc1999bee1708941753;transferir_dinheiro;Envie dinheiro via Pix, PicPay, Câmbio ou TED;Transferir dinheiro;Envie dinheiro via Pix, PicPay, Câmbio ou TED;10.19.094;10.19.184;picpay://picpay/cashout/transfer;cash_out;;transferencia,cambio,ted,tranferir dinheiro,fazer,tranferir,transferencia bancaria,transferir,pix,internacional,transferir dinheiro
FEATURE-5dbb13376893a8f747058159;5dbb13376893a8f747058159;cobrar;Cobre amigos no PicPay, por Pix, link, boleto ou QR Code;Cobrar;Cobre amigos no PicPay, por Pix, link, boleto ou QR Code;;;picpay://picpay/chargeperson;chat_money;;meu qr,cobrar amigo,link compartilhavel,link,meu qr code,cobranca,mandar,cobrar,receber,dividir,gerar link,gerar
FEATURE-63b8210bea761f753052d418;63b8210bea761f753052d418;proteger_celular;Seu celular 100% protegido sem burocracia;Proteger celular;Seu celular 100% protegido sem burocracia;11.00.063;11.00.076;picpay://picpay/insurance/cellphone?origin=busca;phone_insurance;;telefone celular,seguro telefone,meu seguro,picpay seguros,celular,seguro celular,proteger meu celular
FEATURE-548758a24b4fb3cad7465016;548758a24b4fb3cad7465016;picpay_beneficios;Acesse aqui informações sobre os seus benefícios;PicPay Benefícios;Acesse aqui informações sobre os seus benefícios;11.00.046;11.00.090;picpay://picpay/benefits/home;shapes;is_benefits_entry_available;refeicao,beneficio,alimentacao,picpic,cartoes,segunda via,extrato,saldo,desbloqueio,beneficios,bloqueio
FEATURE-6036630ab8d207fdb7509446;6036630ab8d207fdb7509446;picpay_card;Peça seu cartão ou saiba mais sobre o seu PicPay Card;PicPay Card;Peça seu cartão ou saiba mais sobre o seu PicPay Card;10.19.040;10.19.076;picpay://picpay/card/register/hybrid;credit_card;;adicional,aprocima,aproxi,aproxim,aproxima,aproxima,aproximac,aproximaca,aproximacao,ativar,bloquear,bloqueia,car,caratao,card,cart,carta,cartai,cartao de credito,cartao de,cartao picpay,cartao virtual,cartao,cartoes,cartq,cartqo,caryao,como pedir car,como pedir cartao,crediro,credito,credoto,credu,cresito,crtao,debito,desbloquear,estorno,extorno,fat,fatu,fatur,fatura do cartao,fatura,gerar boleto,lim,limi,limite garantido,limite,limites,mastercard,master,meu cartao,meu,minha fatura,novo cartao,novo,pagamento por apro,pagamento por aproximacao,pagar minha fatura,pagar por apro,pagar por aproximacao,pedir c,pedir cartao de credito,pedir cartao debito,pedir cartao fisico,pedir cartao novo,pedir cartao pi,pedir cartao pic,pedir cartao picpay,pedir cartao,pedir novo cartao,pedir outro cartao,pedir segunda via do cartao,pedir segunda via,pedir segunda,pedir,pic,picpay card,picpay,picpaycard,picpei card,quero,rastreio,segunda via,solicitacao,solicitar cartao,solicitar novo cartao,solicitar,vartao,virtual,visa,cartao fisico
FEATURE-640614578aa3824a7b78accf;640614578aa3824a7b78accf;descontos_e_cashback;Compre, pague com PicPay e aproveite ofertas;Descontos e Cashback;Compre, pague com PicPay e aproveite ofertas;11.00.086;11.00.126;picpay://picpay/webview?url=https://cdn.picpay.com/wv/23/SFPJ/10outubro/18656_NOVA/01_webview.html;cashback;;oferta,desconto,descontos,cashback,promocao,beneficios,motorola,trocafone,lojas rede,eletrolux,positivo,imaginarium,mac,drogal,sestini,uber,mizuno,casa mind,zee dog,connect parts,consul,toymania,lojas torra,grandvision fototica,webcontinental,mash,multilaser,vitamine-se,vitamine,vitami,eletrum,olympikus,underarmour,ocean,sorte online,vantagens
FEATURE-61000944c4842ab4ebaf44be;61000944c4842ab4ebaf44be;extrato_e_comprovantes;Acompanhe a movimentação da sua conta, cashback e mais;Extrato e comprovantes;Acompanhe a movimentação da sua conta, cashback e mais;10.19.068;10.19.151;picpay://picpay/userstatement;extract;;extratos,atividades,recibo,recebidos,extrato de pagamentos,ativi,extrato de pagamento,historico,estratos,meus pagamentos,2 via,atividade,feed,conpro,valor retirado,conprovante,extrato,comprovantes,estrato,minhas atividades
FEATURE-6100064133155d451f319d58;6100064133155d451f319d58;central_de_ajuda;Tire dúvidas e conheça tudo sobre o PicPay;Central de Ajuda;Tire dúvidas e conheça tudo sobre o PicPay;10.19.068;10.19.151;picpay://picpay/helpcenter;help;;telefone,sair,conta limitada,numero,reclamacao,como pagar,suporte,estornar,central,perguntas frequentes,duvidas,faq,como fazer,falar com atendente,nao consigo,nao,reembolso,como,ajuda,central de atendimento,fale conosco,original,validar,duvidas frequentes,como fazer emprestimo,atendimento,aju,conta bloqueada,ouvidoria,central de ajuda,chat,perguntas,contestar,ajudar,banco original
